"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.681222156781955,0.912600279476758,0.881996728973622,1.08127875359584,1.31986729711658
0.1,0.736138420708631,0.912918536111902,0.882123514323386,1.08111052988908,1.31986729412629
0.2,0.77552327784175,0.913266387890737,0.882261767345804,1.08092993872126,1.31986729578812
0.3,0.80750586081804,0.913645057014809,0.882411990601812,1.08073661588519,1.31986731077069
0.4,0.834998800617798,0.914055708709846,0.882574681471132,1.080530185537,1.31986732259116
0.5,0.859411126607985,0.914499443380476,0.88275032685093,1.08031026100604,1.31986732165911
0.6,0.881544154446284,0.914977283310777,0.88293940323535,1.08007644277374,1.31986731686897
0.7,0.901902776162018,0.915490164531359,0.883142373049222,1.07982831852683,1.31986730303947
0.8,0.920828500349973,0.916038929572336,0.883359682799752,1.07956546243689,1.3198672966991
0.9,0.938564642056939,0.916624310503189,0.883591760415201,1.07928743355023,1.31986727757582
1,0.955291546602208,0.917246929084634,0.883839012335526,1.07899377512576,1.31986729949007
1.1,0.971147118639274,0.917907278317339,0.884101822941576,1.07868401452899,1.3198672978656
1.2,0.986239482594334,0.918605722870875,0.88438055029366,1.07835766028059,1.31986727879145
1.3,1.00065517962498,0.91934248849756,0.884675524552608,1.07801420171366,1.31986727883219
1.4,1.01446467332496,0.920117658437701,0.884987047177025,1.07765310773866,1.31986729300326
1.5,1.02772617442639,0.920931166081371,0.885315387164462,1.07727382547626,1.31986729439609
1.6,1.04048837727577,0.921782793333646,0.885660774637161,1.07687577772914,1.31986729494169
1.7,1.0527924526314,0.922672169960686,0.886023411963461,1.07645836170772,1.31986729152582
1.8,1.06467353344482,0.923598773125337,0.886403456601469,1.07602094726245,1.31986729698392
1.9,1.07616184878592,0.924561929558676,0.886801031601173,1.07556287428456,1.31986729193083
2,1.08728359462715,0.925560817653243,0.887216219952809,1.07508345055066,1.31986729807729
