"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.809357205922507,0.915861587245959,0.883321413151658,1.08134848406408,1.31986729148311
0.1,0.89291870111125,0.916766030055719,0.88366968808217,1.08050113715163,1.31986730243694
0.2,0.951985596189384,0.917802768387753,0.884069602898712,1.07935772105752,1.31986731849868
0.3,0.999669647131348,0.918968833709419,0.884521628330688,1.07787377364205,1.31986730193176
0.4,1.04024096915952,0.920258584033533,0.885025516284766,1.0759966375736,1.31986729799464
0.5,1.07566806181867,0.921664306310065,0.885580453396915,1.07366223512704,1.31986729470917
0.6,1.10702436114171,0.923177249710715,0.886185360964245,1.07079013349395,1.31986729953308
0.7,1.13495408607734,0.92478919354568,0.886839440546039,1.06727574051077,1.31986729118414
0.8,1.15986662148551,0.92649473442773,0.88754306851895,1.06297745863472,1.31986729531106
0.9,1.18203064286272,0.92829472874772,0.8882993294712,1.05769448784757,1.31986730660265
1,1.20162471489932,0.930201869252281,0.889116718047107,1.0511261179652,1.31986730181405
