"roCo","roR","lambda_PBJ","lambda_PBR","lambda_CH"
0,1,0.991156973527296,0.925259097037056,0.986314662348277
0.1,1,0.991837611267568,0.925615145504196,0.986314686111541
0.2,1,0.992582722246424,0.926005010949725,0.986314710862069
0.3,1,0.993332068240637,0.926396603590656,0.986314778924929
0.4,1,0.993982324784774,0.926735969577863,0.986314798796715
0.5,1,0.994450269205224,0.926980083439696,0.986314812825164
0.6,1,0.994732774811357,0.927127539521226,0.98631482143055
0,1.1,1.02414033607751,0.964806366645107,0.986318709714429
0.1,1.1,1.02530657214746,0.965721987849196,0.986318714715024
0.2,1.1,1.02689755514729,0.966999027104441,0.986318719118237
0.3,1.1,1.02911626851089,0.968807453163267,0.986318722820566
0.4,1.1,1.0320968489843,0.971254582461647,0.986318725806035
0.5,1.1,1.03551686771546,0.974068548460399,0.986318728039527
0.6,1.1,1.03849064104595,0.976518763768646,0.986318729647589
0,1.2,1.03060129765899,0.973454635440769,0.986319780355191
0.1,1.2,1.03183354092925,0.97448694300677,0.986319781975967
0.2,1.2,1.0335855012596,0.975977011802142,0.986319783632807
0.3,1.2,1.03612820658093,0.978154831207588,0.986319784466066
0.4,1.2,1.03963843013602,0.981161993005776,0.986319785326716
0.5,1.2,1.04372308367175,0.984656559403204,0.986319785976833
0.6,1.2,1.04732592860147,0.987746112818757,0.986319786508362
0,1.3,1.03389722465368,0.977475146153546,0.986320369391036
0.1,1.3,1.03519859372108,0.978587586674024,0.986320363068136
0.2,1.3,1.03706787287398,0.98020084860211,0.986320366276942
0.3,1.3,1.03978393261216,0.98255008377293,0.986320377235944
0.4,1.3,1.04350768849025,0.985760795987504,0.986320365826027
0.5,1.3,1.04780133763971,0.989451971914658,0.986320367419502
0.6,1.3,1.05157624749843,0.992705222412935,0.986320371788077
0,1.4,1.03601920151124,0.979946174596272,0.986320744246212
0.1,1.4,1.03737595638011,0.981116251459115,0.986320745145189
0.2,1.4,1.03932644452868,0.982808795880408,0.986320745878728
0.3,1.4,1.04214793355668,0.985256176904811,0.986320732815633
0.4,1.4,1.04598676484259,0.988570016480743,0.986320739729914
0.5,1.4,1.05038105098497,0.99234935734018,0.986320747760859
0.6,1.4,1.05423285450473,0.995670546868884,0.986320743595704
0,1.5,1.03754128408307,0.981663710027584,0.986321007451225
0.1,1.5,1.03894129532942,0.982876498853615,0.986321009717405
0.2,1.5,1.04094962702268,0.984623393580516,0.986321009495594
0.3,1.5,1.04384053890962,0.987133196989779,0.986321011471248
0.4,1.5,1.04775037215988,0.990508172788389,0.986321012677941
0.5,1.5,1.0522023563193,0.994335530526369,0.986320991322249
0.6,1.5,1.05609526047885,0.997690945678683,0.986320992041808
