"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.986317924112589,1.02318253575857,0.966327546872289,0.119687275317693,1.31986729778223
0.1,0.986315666604645,1.0111306618157,0.951236490208028,0.400925744863612,1.31986729473284
0.2,0.986305634053653,0.956717383510664,0.902286093560307,0.925877673339654,1.31986728500647
0.3,0.986286880366931,0.933273785483754,0.89076428328684,1.01608763966938,1.31986728065841
0.4,0.986271758327867,0.926531650287283,0.887795418411927,1.04995695751003,1.31986729292275
0.5,0.98626179090485,0.923551783354503,0.886508225054597,1.06359210262674,1.31986729881283
0.6,0.986255392518838,0.921947692463974,0.885818847312238,1.06959020947736,1.31986730454184
0.7,0.986251123588127,0.920971134826787,0.885399749507766,1.0725903101106,1.31986729650907
0.8,0.986248122111871,0.920322412836124,0.885121392169526,1.07431615957503,1.31986729916206
0.9,0.986245910384896,0.919862601396092,0.884923980282439,1.07543962959997,1.31986731054674
1,0.986244213989118,0.919520212810151,0.884776787017235,1.07624254018093,1.31986730427825
