"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.986239483944547,0.91860572312385,0.884380550196689,1.07835765999066,1.31986729392641
0.1,0.986246480217457,0.919726023217191,0.884840542777595,1.07037143228056,1.31986730337592
0.2,0.98625350559719,0.921051196908408,0.885388961784724,1.06174611184239,1.31986729727758
0.3,0.986260569936615,0.922647347776928,0.886056099655454,1.05234708350315,1.31986729555227
0.4,0.986267691930399,0.924614419951346,0.8868887322628,1.04198367292242,1.31986729502944
0.5,0.986274894650303,0.927112499218361,0.887963689128738,1.03036762626464,1.31986729087338
0.6,0.986282222294341,0.930418709904728,0.889418199886257,1.01702127214294,1.31986729965536
0.7,0.986289748641135,0.935068357587841,0.891528255584949,1.00104168687848,1.31986732862929
0.8,0.986297610309741,0.942281618334062,0.894959246602304,0.980358188336636,1.31986727848385
0.9,0.986306043139827,0.955722919244659,0.901904764077746,0.94852354965588,1.31986728670995
1,0.986314714446438,0.991156823186088,0.925259013902873,0.867843078319521,1.31986731605548
1.1,0.986318712278926,1.02414034709271,0.964806510390355,0.246391339959776,1.31986729601154
1.2,0.986319782941667,1.03060130013161,0.973454720751133,0.0961303554090332,1.31986728362095
1.3,0.986320367871944,1.03389723212743,0.977475224440296,0.0859992978756138,1.31986729359006
1.4,0.986320751087153,1.03601921411281,0.97994627294564,0.0858318675448159,1.31986731245863
1.5,0.986321021118959,1.03754131983288,0.981663838873927,0.0857497858425847,1.31986732174786
