"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
1,0.77552327784264,0.91326638789055,0.882261767345408,1.08092993872125,1.31986729579034
2,0.83499880243087,0.914055708519039,0.882574681443966,1.08053018564261,1.31986729678978
3,0.881544154645428,0.914977283361557,0.882939403265921,1.08007644274904,1.31986731704214
4,0.920828500349965,0.916038929572184,0.883359682799611,1.07956546243699,1.31986729669171
5,0.955291546602208,0.917246929084634,0.883839012335526,1.07899377512576,1.31986729949007
6,0.986239483944547,0.91860572312385,0.884380550196689,1.07835765999066,1.31986729392641
7,1.01446467332496,0.920117658437701,0.884987047177025,1.07765310773866,1.31986729300326
8,1.04048837742726,0.921782793433144,0.885660775020503,1.07687577770812,1.31986729411821
