"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0.1,0.78903392247325,0.914217465321282,0.882652957288786,1.08163031035376,1.31986732109477
0.2,0.814470759092479,0.914524589095126,0.882774610664399,1.08150480736647,1.31986728961446
0.3,0.843477942060725,0.914938348817921,0.882938005905035,1.08130510240721,1.31986730831321
0.4,0.876630063682075,0.915513552087555,0.883164500084645,1.0809748459793,1.31986728950185
0.5,0.914521560385319,0.916340675052527,0.883489509097174,1.08040516057726,1.3198672690765
0.6,0.957680985458529,0.917571928778947,0.883973289006889,1.079375339003,1.31986727626906
0.7,1.0063813081182,0.919465324434507,0.884720472976329,1.07740955712455,1.31986729601387
0.8,1.06020900886555,0.922454087914489,0.885915384860509,1.07338179960711,1.31986729583772
0.9,1.11698393040819,0.927262139803624,0.887894517686897,1.06411489741949,1.31986729990305
1,1.16947323803275,0.935579244680878,0.891531186987751,1.0354508051666,1.3198672914173
