"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0.1,0.966593886158059,0.918413917930186,0.884309978248842,1.07874760663013,1.31986730221954
0.2,0.951296710931744,0.917845175611786,0.884085658882158,1.07929383433192,1.31986729751494
0.3,0.934247609089331,0.917285087282907,0.883865242187177,1.07979680910754,1.31986730260861
0.4,0.915144977403344,0.916738532530044,0.883650511555644,1.08025267119876,1.31986728368682
0.5,0.893605472177714,0.916211188065885,0.883443544939194,1.08065775320916,1.31986733018101
0.6,0.869139503731604,0.915709750311637,0.883246809389351,1.08100871262306,1.31986728862735
0.7,0.841150872713176,0.915242467885107,0.883063380503702,1.08130256944785,1.31986728160351
0.8,0.80912861634907,0.914820428692526,0.882897448281907,1.08153630774609,1.31986730648221
0.9,0.774004384795801,0.914460912372006,0.882755609118683,1.08170472030301,1.3198672930788
1,0.745413838050572,0.914196453684878,0.882650275056312,1.08179185175854,1.31986732160735
