"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
0,1.11889405732804,0.877907177364304,0.877942234751153,1.36155870314333,1
0.1,1.11889405795082,0.877907166067871,0.87794223454934,1.36146765471132,1.10479183912741
0.2,1.11889405787416,0.877907143468733,0.877942235556511,1.36122732740977,1.21985296483297
0.3,1.11889405882581,0.877907100943166,0.877942244253683,1.36060327843913,1.34481197425915
0.4,1.11889405650546,0.877906988562554,0.877942243283813,1.35905070052171,1.47671105559478
0.5,1.11889405733148,0.877906770263281,0.877942259417036,1.35556683839151,1.60666827037191
0.6,1.11889405612198,0.877906345505661,0.877942282476749,1.34925321737786,1.71764086810964
0.7,1.11889405535875,0.877905676055787,0.877942327619509,1.34113089299232,1.79312384828112
0.8,1.1188940577403,0.87790481667073,0.877942372148475,1.33411148630845,1.83305472531654
0.9,1.11889405752587,0.87790394039683,0.877942421714689,1.32977848494621,1.85055345370772
1,1.11889405677588,0.877903165661717,0.877942469702085,1.32763508241669,1.85747970282514
