"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
1,0.81604350128497,0.914693239225234,0.8828417784594,1.08140028514853,1.31986729390517
2,0.910570659815514,0.917469247654389,0.883967475774878,1.08100634349405,1.31986729375598
3,0.981020276802818,0.920902784527075,0.885373771455658,1.08051700420405,1.3198672931248
4,1.03920010578959,0.925012846800522,0.887085832047386,1.0799229507466,1.31986729787537
5,1.08957520889165,0.929775739520678,0.889119595334328,1.07921408428608,1.31986728995543
6,1.13438323134332,0.935122994153381,0.891479303112601,1.07837937748037,1.31986729567068
7,1.17492053358594,0.940946463713597,0.894155901027148,1.0774066904687,1.31986728056925
8,1.21200815979015,0.947110116647152,0.897126709831149,1.07628253385272,1.31986728524985
