"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
0,1.11889405617387,0.877906344192034,0.877942281148584,1.34925320154387,1.71764102104275
0.1,1.11889405783876,0.877906783365814,0.877942261583059,1.35582033812411,1.59952890846185
0.2,1.11889405650485,0.877906993573766,0.877942242974291,1.35916311091,1.46974637887713
0.3,1.11889405904066,0.877907100696821,0.877942242103552,1.36063738806572,1.33996493362716
0.4,1.1188940586869,0.877907146139863,0.87794223758533,1.36123645998537,1.21681676710057
0.5,1.11889405767553,0.877907168461444,0.877942235933808,1.36147004079717,1.1029176026154
0.6,1.11889405770718,0.877907177694193,0.877942234905456,1.36155934182707,0.998807854090647
0.7,1.11889405823533,0.877907183453736,0.877942235194748,1.36159317177781,0.904153906851199
0.8,1.11889405444356,0.877907174260646,0.877942223132481,1.36160593394296,0.818307138762415
0.9,1.11889405811442,0.877907183908496,0.877942231279774,1.36161073941872,0.740537172747851
1,1.11889405813281,0.877907184417564,0.877942230815364,1.36161254756084,0.670122790898755
