"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co","elas_lambda_CH","elas_lambda_BJ","elas_lambda_BR","elas_lambda_R","elas_lambda_Co"
0,0.986317924112589,1.02318253575857,0.966327546872289,0.119687275317693,1.31986729778223,NA,NA,NA,NA,NA
0.1,0.986315666604645,1.0111306618157,0.951236490208028,0.400925744863612,1.31986729473284,-6.23028678957376e-06,-0.0328667474728507,-0.0336622143763517,1.00541111209535,-4.83978959720108e-09
0.2,0.986305634053653,0.956717383510664,0.902286093560307,0.925877673339654,1.31986728500647,-2.918592038824e-05,-0.0813791801777984,-0.0670211004611324,0.664409470623555,-1.06635191475163e-08
0.3,0.986286880366931,0.933273785483754,0.89076428328684,1.01608763966938,1.31986728065841,-5.15200898344953e-05,-0.0485158809122682,-0.0244015315054686,0.183172119204328,8.99667713170752e-09
0.4,0.986271758327867,0.926531650287283,0.887795418411927,1.04995695751003,1.31986729292275,-5.08773811460548e-05,-0.0209857960626309,-0.0095879256503849,0.090488400724572,2.75094626023037e-08
0.5,0.98626179090485,0.923551783354503,0.886508225054597,1.06359210262674,1.31986729881283,-4.14844445457991e-05,-0.0124085024411389,-0.00557403485897503,0.0461484527734879,2.20080650246518e-08
0.6,0.986255392518838,0.921947692463974,0.885818847312238,1.06959020947736,1.31986730454184,-3.2447934289216e-05,-0.0083973805091448,-0.0037540707680618,0.0252382849173333,-5.23634423314957e-09
0.7,0.986251123588127,0.920971134826787,0.885399749507766,1.0725903101106,1.31986729650907,-2.58011613634362e-05,-0.00617660910571836,-0.00275705182980817,0.0154213824103438,-1.42660028541767e-08
0.8,0.986248122111871,0.920322412836124,0.885121392169526,1.07431615957503,1.31986729916206,-2.11435768108309e-05,-0.00481802209849016,-0.00215007446226481,0.0106088676558568,4.25426705374995e-08
0.9,0.986245910384896,0.919862601396092,0.884923980282439,1.07543962959997,1.31986731054674,-1.78318127387801e-05,-0.0039243905681132,-0.00175238011384307,0.00806062236127053,1.74433107312953e-08
1,0.986244213989118,0.919520212810151,0.884776787017235,1.07624254018093,1.31986730427825,NA,NA,NA,NA,NA
