"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co","elas_lambda_CH","elas_lambda_BJ","elas_lambda_BR","elas_lambda_R","elas_lambda_Co"
0,0.809357205922507,0.915861587245959,0.883321413151658,1.08134848406408,1.31986729148311,NA,NA,NA,NA,NA
0.1,0.89291870111125,0.916766030055719,0.88366968808217,1.08050113715163,1.31986730243694,0.0798663921415096,0.00105871131682093,0.000423342430517067,-0.000921222078399581,1.02341992840514e-08
0.2,0.951985596189384,0.917802768387753,0.884069602898712,1.07935772105752,1.31986731849868,0.112135043268933,0.00240008390644701,0.000963657437971767,-0.00243419161073469,-3.82750684768158e-10
0.3,0.999669647131348,0.918968833709419,0.884521628330688,1.07787377364205,1.31986730193176,0.132426807030793,0.00400854015233647,0.00162106842066389,-0.00467737999491783,-2.33023880409011e-08
0.4,1.04024096915952,0.920258584033533,0.885025516284766,1.0759966375736,1.31986729799464,0.146116942017245,0.0058580765176494,0.0023927560205763,-0.00782816296621006,-1.09444182312832e-08
0.5,1.07566806181867,0.921664306310065,0.885580453396915,1.07366223512704,1.31986729470917,0.155213755880409,0.00791683495064234,0.00327424988613432,-0.0121232355700627,2.91400515830828e-09
0.6,1.10702436114171,0.923177249710715,0.886185360964245,1.07079013349395,1.31986729953308,0.160663196781486,0.0101547798212993,0.00426204450416816,-0.0178928468329206,-8.01223739738963e-09
0.7,1.13495408607734,0.92478919354568,0.886839440546039,1.06727574051077,1.31986729118414,0.162956293538289,0.0125555062608751,0.00535832781471876,-0.0256207097841638,-1.11958757769201e-08
0.8,1.15986662148551,0.92649473442773,0.88754306851895,1.06297745863472,1.31986729531106,0.162351621861784,0.0151346146795115,0.0065794617836277,-0.0360543963952201,4.67274553405949e-08
0.9,1.18203064286272,0.92829472874772,0.8882993294712,1.05769448784757,1.31986730660265,0.158973391677096,0.0179707006771263,0.00797188812573112,-0.0504219636441234,2.21715133879658e-08
1,1.20162471489932,0.930201869252281,0.889116718047107,1.0511261179652,1.31986730181405,NA,NA,NA,NA,NA
