"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co","elas_lambda_CH","elas_lambda_BJ","elas_lambda_BR","elas_lambda_R","elas_lambda_Co"
1,0.77552327784264,0.91326638789055,0.882261767345408,1.08092993872125,1.31986729579034,NA,NA,NA,NA,NA
2,0.83499880243087,0.914055708519039,0.882574681443966,1.08053018564261,1.31986729678978,0.12697129204753,0.00187176279854869,0.000767794425514672,-0.000789886283188465,1.61014672832469e-08
3,0.881544154645428,0.914977283361557,0.882939403265921,1.08007644274904,1.31986731704214,0.146044354330074,0.00325126277320057,0.00133361590740198,-0.00133979850976739,-1.11454381021957e-10
4,0.920828500349965,0.916038929572184,0.883359682799611,1.07956546243699,1.31986729669171,0.160176171629684,0.00495534774736476,0.0020367899670355,-0.00200574705462701,-2.65967193272048e-08
5,0.955291546602208,0.917246929084634,0.883839012335526,1.07899377512576,1.31986729949007,0.171180682555071,0.00699591753942292,0.0028875942983679,-0.00279844627970452,-5.23783714859469e-09
6,0.986239483944547,0.91860572312385,0.884380550196689,1.07835765999066,1.31986729392641,0.179996221058046,0.00937528238983093,0.00389436936817662,-0.00372974784760616,-1.47442322601075e-08
7,1.01446467332496,0.920117658437701,0.884987047177025,1.07765310773866,1.31986729300326,0.187163863052208,0.0120851349613367,0.00506311012985092,-0.00481285485249835,5.0861149910093e-10
8,1.04048837742726,0.921782793433144,0.885660775020503,1.07687577770812,1.31986729411821,NA,NA,NA,NA,NA
