"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co","elas_lambda_CH","elas_lambda_BJ","elas_lambda_BR","elas_lambda_R","elas_lambda_Co"
0,0.986239483944547,0.91860572312385,0.884380550196689,1.07835765999066,1.31986729392641,NA,NA,NA,NA,NA
0.1,0.986246480217457,0.919726023217191,0.884840542777595,1.07037143228056,1.31986730337592,7.10859451685434e-06,0.00132945775308374,0.000569826731079422,-0.00775971202486077,1.2695101998464e-09
0.2,0.98625350559719,0.921051196908408,0.885388961784724,1.06174611184239,1.31986729727758,1.42861029928911e-05,0.00317172874813336,0.00137290719709069,-0.0169761382465844,-5.92760362219268e-09
0.3,0.986260569936615,0.922647347776928,0.886056099655454,1.05234708350315,1.31986729555227,2.15759409450645e-05,0.00579293332093252,0.00253895404364201,-0.028169088739501,-2.55496153979218e-09
0.4,0.986267691930399,0.924614419951346,0.8868887322628,1.04198367292242,1.31986729502944,2.90483279645309e-05,0.00965840753742076,0.00430175602393112,-0.0421877190779104,-7.08993996559532e-09
0.5,0.986274894650303,0.927112499218361,0.887963689128738,1.03036762626464,1.31986729087338,3.68314250440484e-05,0.0156515254574702,0.00712154014411041,-0.060566734006326,8.76209321083857e-09
0.6,0.986282222294341,0.930418709904728,0.889418199886257,1.01702127214294,1.31986729965536,4.51817659168906e-05,0.0256525098370861,0.0120232522451198,-0.0865053864341541,8.58175135422052e-08
0.7,0.986289748641135,0.935068357587841,0.891528255584949,1.00104168687848,1.31986732862929,5.46067258367872e-05,0.0444033627763611,0.0217532797022117,-0.128187262332903,-5.61422220004118e-08
0.8,0.986297610309741,0.942281618334062,0.894959246602304,0.980358188336636,1.31986727848385,6.6083496590394e-05,0.0876789327306837,0.0463775687314981,-0.214281424268846,-1.27041076576579e-07
0.9,0.986306043139827,0.955722919244659,0.901904764077746,0.94852354965588,1.31986728670995,7.80372539256406e-05,0.230127809436591,0.151178880834482,-0.533795913934564,1.28097980634432e-07
1,0.986314714446438,0.991156823186088,0.925259013902873,0.867843078319521,1.31986731605548,6.42246278670862e-05,0.345139266802009,0.3399142584263,-4.0452717042792,3.52368380200746e-08
1.1,0.986318712278926,1.02414034709271,0.964806510390355,0.246391339959776,1.31986729601154,2.8263403514775e-05,0.211830950529608,0.274745645692401,-17.2263358635113,-1.35157462623728e-07
1.2,0.986319782941667,1.03060130013161,0.973454720751133,0.0961303554090332,1.31986728362095,1.00713361729912e-05,0.0568030626400767,0.0780850744048922,-10.0109091286533,-1.1007834609918e-08
1.3,0.986320367871944,1.03389723212743,0.977475224440296,0.0859992978756138,1.31986729359006,6.38022478699479e-06,0.0340618388206097,0.0431674258428964,-0.778380437643016,1.42018005182368e-07
1.4,0.986320751087153,1.03601921411281,0.97994627294564,0.0858318675448159,1.31986731245863,4.63614812951713e-06,0.0246217575800408,0.0299203148630617,-0.0203489016511466,1.49336678604364e-07
1.5,0.986321021118959,1.03754131983288,0.981663838873927,0.0857497858425847,1.31986732174786,NA,NA,NA,NA,NA
