param;elas_lambda_CH;elas_lambda_CH_sd;elas_lambda_BJ;elas_lambda_BJ_sd;elas_lambda_BR;elas_lambda_BR_sd;elas_lambda_R;elas_lambda_R_sd;elas_lambda_Co;elas_lambda_Co_sd
phiACH mean;0.25785574598374;0.156956072303802;0.0171743085317322;0.0212035222462289;0.00739705447938059;0.00942195095823337;-0.0305183048124396;0.0524723460328257;1.93782551505507E-09;3.71448386541336E-08
ECH mean;0.158859814667334;0.0384631070160637;0.00822609009600375;0.00629967983352603;0.00346192340078152;0.00270482057895333;-0.00332094257104733;0.00254390637510698;-2.16909297486347E-09;5.01650925041199E-08
GCH mean;0.161922097445436;0.0224777750451297;0.0064224513682841;0.00384789959757528;0.00266387901605793;0.0016173090217852;-0.00257941347123198;0.0015117970048378;-5.01336072243019E-09;1.45666636119298E-08
phiJCH mean;0.2217876826245;0.0645305869067389;0.0178385891788876;0.017300489745934;0.00780873015990577;0.00796299543794764;-0.0393343540232353;0.0569208953911501;-2.0121549061425E-09;3.682403228714E-08
SRCH mean;0.141189271577505;0.0285472188026881;0.00856198314252315;0.00584099670112078;0.00364964404712323;0.00259854800627036;-0.0175526787640836;0.0168926931958494;3.13438922662869E-09;2.1072237205009E-08
rCo mean;-3.75084786507919E-09;2.62272867040723E-09;-4.95395270830835E-06;1.91740260480486E-06;-1.15672269294725E-06;4.48193690000928E-07;-6.1706496697997E-11;4.04207264351628E-10;0.0598689473071356;0.0524297380261935
roCo mean;2.29666720485443E-09;3.45935912120588E-09;2.78950934575866E-06;1.42387654925885E-06;6.39267098860507E-07;3.04282742118645E-07;1.53299065454217E-11;5.77544149874863E-10;-0.409284943262245;0.307436544075128
roR mean;0.0000333096695860333;0.0000247361644818481;0.0782802531407219;0.106285925934251;0.0723621917773369;0.108229230529311;-2.37140538677169;5.08063391628791;1.46869656039937E-08;8.87158154438587E-08
rR mean;-0.0000307247342118251;0.0000151737036194942;-0.0243858343720171;0.0260917126242223;-0.0167400426695878;0.0219394971672192;0.227662079196233;0.358946969555254;9.27717002171269E-09;1.94605143616245E-08
