"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co","elas_lambda_CH","elas_lambda_BJ","elas_lambda_BR","elas_lambda_R","elas_lambda_Co"
0.1,0.806392108605527,0.914955242291404,0.882952310965789,1.08152137017354,1.31986731910407,NA,NA,NA,NA,NA
0.2,0.843761380688438,0.91540549395291,0.883129589473291,1.08127197366767,1.31986729857249,0.0978749914314982,0.0012562755570518,0.000510732735456175,-0.000685577943757779,5.44156976509641e-09
0.3,0.888975246510637,0.916105243838248,0.883403354156783,1.08078007395719,1.31986732628622,0.157845337286964,0.00283459921693657,0.00114839623592195,-0.00191476980002291,3.07334315422542e-09
0.4,0.937308445771927,0.917136688090787,0.883805920864434,1.07989234363695,1.31986730127676,0.207539445254454,0.00545279524431046,0.00221133626022852,-0.00448639900227774,-4.90349445151924e-08
0.5,0.986239483944547,0.91860572312385,0.884380550196689,1.07835765999066,1.31986729392641,0.24550438078402,0.00951737704950739,0.00388593780865974,-0.00955813843438966,-1.51948043795691e-08
0.6,1.03415889129615,0.920633774901509,0.885180579991335,1.07576950691856,1.31986729325471,0.270896558423877,0.0154320838230044,0.00639201186232436,-0.0192544861905978,1.47355741808088e-09
0.7,1.07962284544974,0.923341488985373,0.886266578452557,1.07145319695225,1.31986729457471,0.281454100793957,0.0235115463395221,0.00997236620661628,-0.0377916232005367,-3.9149765237674e-08
0.8,1.12097725619977,0.926836399531647,0.887705772813339,1.06420037677678,1.31986727849114,0.273120203215504,0.0342090699343892,0.0150227886326117,-0.0751803286164612,4.52909143675201e-09
0.9,1.15616322945305,0.931268041787702,0.889600532500788,1.05145146344229,1.31986729606916,0.240066443805729,0.050494966266379,0.0233262715374274,-0.165803508997839,7.27647131091408e-08
1,1.18265636618949,0.937286254721653,0.892317120275773,1.02545941184797,1.31986729983331,NA,NA,NA,NA,NA
