"val","value"
0,1
0.1,1.04314122382115
0.2,1.0657965926261
0.3,1.07568033290471
0.4,1.07958386137949
0.5,1.08105990404217
0.6,1.08160854019131
0.7,1.08181114076194
0.8,1.08188578156737
0.9,1.08191325427864
1,1.08192336152509
