"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
0,1.11889405709643,0.878056847781246,0.878010209988013,1.3615587039053,1
0.1,1.11889405614016,0.878056850549867,0.878010208523625,1.36146765559717,1.10479184881118
0.2,1.11889405927134,0.87805687336963,0.878010223324545,1.36122732869659,1.21985294865972
0.3,1.1188940566394,0.878056888888735,0.878010225306627,1.36060328120751,1.34481189983931
0.4,1.11889405655207,0.878056940887788,0.87801024889552,1.35905070753809,1.47671090624435
0.5,1.11889405709574,0.878057039808016,0.878010289812272,1.35556684786496,1.60666829401738
0.6,1.11889405695813,0.878057220629385,0.878010364266048,1.34925318048093,1.71764159437357
0.7,1.11889405641853,0.878057501487052,0.878010487791962,1.34113108719949,1.79312273954634
0.8,1.11889405672151,0.878057819748798,0.878010622632756,1.33411169909171,1.83305402064716
0.9,1.11889405817606,0.878058158129641,0.8780107795433,1.32977859336608,1.8505532466363
1,1.11889405482056,0.878058475141193,0.878010924958715,1.32763515396794,1.85747978694129
