"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
1,0.836098473107628,0.878055117732028,0.878009423739134,1.34975628873608,1.71764028924517
2,0.91861989423908,0.878055423203177,0.878009568436774,1.3496922594375,1.71764108985822
3,0.981963378330175,0.878055775624397,0.878009724942439,1.34961080113314,1.71764077337108
4,1.03447666055155,0.87805618944758,0.878009907416921,1.34951082917043,1.71764071688563
5,1.0795449985116,0.878056673215416,0.87801012272656,1.34939164634093,1.71764179447418
6,1.11889405594363,0.878057218867041,0.878010362555214,1.34925319749656,1.71764140329893
7,1.15351190501662,0.878057831623102,0.878010632337174,1.34909548573538,1.71764172474602
8,1.18400106166813,0.878058502417285,0.878010925035456,1.34891923499381,1.71764207658779
