"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
0.1,0.840696385204985,0.878054589341136,0.878009155970899,1.34981492000763,1.71764176005313
0.2,0.905402680677346,0.878054786120011,0.87800925243892,1.34978618541599,1.71764116392602
0.3,0.978327734411836,0.878055188104795,0.878009447790863,1.34971494847583,1.71764126232323
0.4,1.05119961707035,0.878055921358499,0.878009784220288,1.34955943635805,1.71764085376725
0.5,1.11889405594363,0.878057218867041,0.878010362555214,1.34925319749656,1.71764140329893
0.6,1.1753553182053,0.878059360767931,0.878011307246059,1.34871711746498,1.71764127819575
0.7,1.21199670737691,0.878062495954099,0.878012688896062,1.34791442089741,1.71764154262455
0.8,1.21777739584874,0.878066284239388,0.878014381746545,1.3469714904814,1.71764168325923
0.9,1.18368871363274,0.8780696195533,0.878015970625964,1.34628937037548,1.71764149403424
1,1.14539860454936,0.878071370774542,0.878016974641936,1.34625056471276,1.71764182069257
