"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.838134756442757,0.91520180659737,0.883046733013639,1.08132870509156,1
0.1,0.838134766570635,0.915201469867221,0.883046660324493,1.08132870461659,1.09437983257076
0.2,0.838134776104109,0.915200906328117,0.883046541615503,1.0813287046816,1.18240401557854
0.3,0.838134770152582,0.915200125717413,0.883046377437864,1.08132870456315,1.25067058813838
0.4,0.838134779068562,0.915199295613143,0.883046201555028,1.08132870472661,1.29189993461439
0.5,0.838134771226268,0.91519857798992,0.883046044298833,1.08132870474198,1.31167608214298
0.6,0.838134767960436,0.915198008589757,0.883045916725778,1.08132870463963,1.31986730757159
0.7,0.838134775237926,0.915197557881271,0.883045813731975,1.08132870446775,1.32302737424392
0.8,0.83813475241279,0.915197191120161,0.883045727891825,1.08132870503155,1.32421111023547
0.9,0.83813474699547,0.915196885324473,0.883045655789437,1.08132870513228,1.32464954084845
1,0.838134769424487,0.915196624802904,0.883045594590455,1.08132870451696,1.3248112079196
