"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.838231204971335,0.974442297867066,0.9131952121022,0.8788500485856,1.31986727475205
0.1,0.83821445862407,0.937795936791719,0.892889870111962,0.97232351329467,1.31986728539053
0.2,0.838191813106686,0.926289876969629,0.887767712763562,1.02997282973563,1.31986730089182
0.3,0.838172379026245,0.921625483432133,0.88577952748545,1.0590293782519,1.31986729672667
0.4,0.838159226605686,0.919321812281012,0.884806369697929,1.07160474414751,1.31986729307838
0.5,0.838151154540548,0.918027082742703,0.884259167339722,1.07677257451015,1.31986733404602
0.6,0.838146124602879,0.917225463564541,0.883919329401948,1.07894814103562,1.3198673055371
0.7,0.838142931982458,0.916690146874038,0.883691552115053,1.07993499238302,1.31986730782622
0.8,0.838140720163538,0.916310738566428,0.883529470543598,1.08043436586798,1.31986731171638
0.9,0.838139146748905,0.916028904898274,0.883408547543878,1.08072067362786,1.31986731051664
1,0.838137927729732,0.915811593528134,0.883314850256337,1.08090518926328,1.3198672806673
