"val","lambda_CH","lambda_BJ","lambda_BR","lambda_R","lambda_Co"
0,0.838134762443478,0.91519800822502,0.883045916320937,1.08132870483759,1.31986729073363
0.1,0.838143157521769,0.916010703222261,0.883374421653438,1.07379454674205,1.3198673100518
0.2,0.838151544745235,0.916960423271332,0.883760142258995,1.06574011200951,1.31986731880884
0.3,0.838159937094481,0.918086243967269,0.884220196745098,1.05707973382596,1.31986732627157
0.4,0.83816835066777,0.919443993828335,0.884779440783177,1.04770238473259,1.31986731101874
0.5,0.838176784763934,0.921116455964509,0.88547545273962,1.03745921624475,1.31986730091424
0.6,0.838185261867423,0.923232137602566,0.886367973651518,1.02614160912459,1.31986729609344
0.7,0.838193709833889,0.92600229890868,0.887558211730425,1.01343966641009,1.31986730203668
0.8,0.838202278744825,0.929800587750797,0.889232387320298,0.998857592572939,1.3198672972948
0.9,0.838210927834041,0.935353062270308,0.891772766553001,0.9815273136225,1.31986728357617
1,0.838219562386486,0.944248008149241,0.896088795278725,0.959762614431021,1.31986729703739
1.1,0.83822796830058,0.960390263073153,0.904776294190056,0.929890160466471,1.31986727764827
1.2,0.838234764428443,0.991326049082333,0.925333181642484,0.882821740453993,1.31986731688235
1.3,0.83823793349446,1.02326526014427,0.957411689990427,0.79112328497077,1.31986731805193
1.4,0.838239012834236,1.0331787669763,0.974169457938686,0.575631644588293,1.31986730390637
1.5,0.838239401238573,1.03588062738803,0.978772371976946,0.390667001255691,1.31986729854847
